question,answer
ミ→???→???→ト,ミナミアフリカキョウワコククウェート
ミ→???→???→ナ,ミクロネシアレンポウウクライナ
ミ→???→???→リ,ミャンマーマリ
ミ→???→???→ル,ミャンマーマダガスカル
ミ→???→???→ン,ミクロネシアレンポウウズベキスタン
メ→???→???→ア,メキシココロンビア
メ→???→???→カ,メキシココスタリカ
メ→???→???→ボ,メキシココソボ
メ→???→???→ル,メキシココートジボワール
メ→???→???→ロ,メキシココモロ
モ→???→???→イ,モルディブブルネイ
モ→???→???→ジ,モルディブブルンジ
モ→???→???→ソ,モルディブブルキナファソ
モ→???→???→ツ,モルドババヌアツ
モ→???→???→ト,モザンビーククウェート
モ→???→???→マ,モルドババハマ
モ→???→???→ム,モーリシャススリナム
モ→???→???→ユ,モルドババングラデシュ
ラ→???→???→ウ,ラトビアアラブシュチョウコクレンポウ
ラ→???→???→ス,ラオススイス
ラ→???→???→ダ,ラトビアアンティグアバーブーダ
ラ→???→???→ム,ラオススリナム
ル→???→???→カ,ルーマニアアメリカ
ル→???→???→ク,ルワンダダイカンミンコク
ル→???→???→ダ,ルーマニアアンティグアバーブーダ
ル→???→???→ト,ルクセンブルククウェート
レ→???→???→ガ,レソトトンガ
レ→???→???→コ,レソトトルコ
レ→???→???→ン,レソトトルクメニスタン
ロ→???→???→ウ,ロシアアラブシュチョウコクレンポウ
ロ→???→???→カ,ロシアアメリカ
ロ→???→???→ダ,ロシアアンティグアバーブーダ
