question,answer
コ→???→???→ド,コナクリリヤド
コ→???→???→マ,コナクリリマ
コ→???→???→ル,コナクリリーブルビル
コ→???→???→ン,コナクリリスボン
サ→???→???→エ,サヌアアルジェ
サ→???→???→カ,サンサルバドルルサカ
サ→???→???→ク,サンサルバドルルクセンブルク
サ→???→???→タ,サラエボボゴタ
サ→???→???→ダ,サンサルバドルルアンダ
サ→???→???→ト,サヌアアシガバット
サ→???→???→ナ,サヌアアスタナ
サ→???→???→ネ,サヌアアテネ
サ→???→???→バ,サヌアアディスアベバ
サ→???→???→ビ,サヌアアブダビ
サ→???→???→ボ,サヌアアンタナナリボ
サ→???→???→ム,サヌアアムステルダム
ザ→???→???→ア,ザグレブブラジリア
ザ→???→???→ス,ザグレブブエノスアイレス
ザ→???→???→バ,ザグレブブラチスラバ
ザ→???→???→ン,ザグレブブリッジタウン
シ→???→???→カ,シンガポールルサカ
シ→???→???→ク,シンガポールルクセンブルク
シ→???→???→ダ,シンガポールルアンダ
ジ→???→???→ギ,ジュババンギ
ジ→???→???→コ,ジュババマコ
ジ→???→???→ス,ジブチチュニス
ジ→???→???→タ,ジュババレッタ
ジ→???→???→ト,ジャカルタタシケント
ジ→???→???→ド,ジュババグダッド
ジ→???→???→ナ,ジョージタウンンジャメナ
ジ→???→???→ワ,ジャカルタタラワ
ス→???→???→ギ,スババンギ
ス→???→???→コ,スババマコ
ス→???→???→タ,スババレッタ
ス→???→???→ド,スババグダッド
ス→???→???→ナ,スリジャヤワルダナプラコッテティラナ
ス→???→???→ネ,ストックホルムムババーネ
ス→???→???→パ,スリジャヤワルダナプラコッテテグシガルパ
ス→???→???→プ,スリジャヤワルダナプラコッテティンプー
ス→???→???→ム,スコピエエルサレム
ソ→???→???→イ,ソフィアアロフィ
ソ→???→???→エ,ソフィアアルジェ
ソ→???→???→カ,ソウルルサカ
ソ→???→???→ク,ソウルルクセンブルク
ソ→???→???→ダ,ソウルルアンダ
ソ→???→???→ト,ソフィアアシガバット
ソ→???→???→ナ,ソフィアアスタナ
ソ→???→???→ネ,ソフィアアテネ
ソ→???→???→バ,ソフィアアディスアベバ
ソ→???→???→ビ,ソフィアアブダビ
ソ→???→???→ボ,ソフィアアンタナナリボ
ソ→???→???→ム,ソフィアアムステルダム
タ→???→???→ウ,タシケントトウキョウ
タ→???→???→グ,タラワワガドゥグー
タ→???→???→シ,タシケントトビリシ
タ→???→???→ナ,タリンンジャメナ
タ→???→???→リ,タシケントトリポリ
タ→???→???→ワ,タラワワルシャワ
ダ→???→???→エ,ダマスカススコピエ
ダ→???→???→カ,ダカールルサカ
ダ→???→???→ク,ダカールルクセンブルク
ダ→???→???→ス,ダッカカラカス
ダ→???→???→ダ,ダカールルアンダ
ダ→???→???→テ,ダマスカススリジャヤワルダナプラコッテ
ダ→???→???→ナ,ダブリンンジャメナ
ダ→???→???→バ,ダマスカススバ
ダ→???→???→ム,ダマスカスストックホルム
ダ→???→???→ラ,ダッカカンパラ
ダ→???→???→ル,ダッカカブール
ダ→???→???→ロ,ダッカカイロ
チ→???→???→エ,チュニススコピエ
チ→???→???→テ,チュニススリジャヤワルダナプラコッテ
チ→???→???→バ,チュニススバ
チ→???→???→ム,チュニスストックホルム
テ→???→???→イ,テグシガルパパナマシティ
テ→???→???→ソ,ティラナナッソー
テ→???→???→ハ,ティンプープラハ
テ→???→???→ビ,ティラナナイロビ
テ→???→???→ボ,テグシガルパパラマリボ
テ→???→???→リ,テグシガルパパリ
テ→???→???→ル,テグシガルパパリキール
テ→???→???→ン,ティンプープノンペン
ト→???→???→エ,トリポリリロングウェ
ト→???→???→ガ,トリポリリガ
ト→???→???→ク,トウキョウウィントフック
ト→???→???→ド,トリポリリヤド
ト→???→???→ナ,トリポリリュブリャナ
ト→???→???→マ,トリポリリマ
ド→???→???→ア,ドドママナグア
ド→???→???→イ,ドーハハノイ
ド→???→???→ク,ドドママルキョク
ド→???→???→ナ,ドーハハバナ
ド→???→???→ネ,ドーハハボローネ
ド→???→???→ボ,ドドママラボ
ド→???→???→マ,ドドママナーマ
ド→???→???→ム,ドーハハルツーム
ド→???→???→ラ,ドドママニラ
ド→???→???→ル,ドドママセル
ド→???→???→ロ,ドドママジュロ
ナ→???→???→ウ,ナイロビビサウ
ナ→???→???→ク,ナイロビビシュケク
ナ→???→???→ス,ナイロビビリニュス
ナ→???→???→ル,ナッソーソウル
ナ→???→???→ン,ナイロビビエンチャン
ニ→???→???→エ,ニコシアアルジェ
ニ→???→???→ト,ニコシアアシガバット
ニ→???→???→ナ,ニコシアアスタナ
ニ→???→???→ネ,ニコシアアテネ
ニ→???→???→バ,ニコシアアディスアベバ
ニ→???→???→ビ,ニコシアアブダビ
ニ→???→???→ボ,ニコシアアンタナナリボ
ニ→???→???→ム,ニコシアアムステルダム
ヌ→???→???→イ,ヌクアロファアロフィ
ヌ→???→???→ウ,ヌアクショットトウキョウ
ヌ→???→???→エ,ヌクアロファアルジェ
ヌ→???→???→シ,ヌアクショットトビリシ
ヌ→???→???→ト,ヌクアロファアシガバット
ヌ→???→???→ナ,ヌクアロファアスタナ
ヌ→???→???→ネ,ヌクアロファアテネ
ヌ→???→???→バ,ヌクアロファアディスアベバ
ヌ→???→???→ビ,ヌクアロファアブダビ
ヌ→???→???→ボ,ヌクアロファアンタナナリボ
ヌ→???→???→ム,ヌクアロファアムステルダム
ヌ→???→???→リ,ヌアクショットトリポリ
ネ→???→???→ハ,ネピドードーハ
ネ→???→???→ベ,ネピドードゥシャンベ
ネ→???→???→マ,ネピドードドマ
ハ→???→???→ク,ハラレレイキャビク
ハ→???→???→ソ,ハバナナッソー
ハ→???→???→ネ,ハルツームムババーネ
ハ→???→???→ビ,ハバナナイロビ
バ→???→???→ガ,バンギギテガ
バ→???→???→ナ,バンダルスリブガワンンジャメナ
バ→???→???→ハ,バグダッドドーハ
バ→???→???→ベ,バグダッドドゥシャンベ
バ→???→???→マ,バグダッドドドマ
バ→???→???→リ,バマココナクリ
バ→???→???→ワ,バレッタタラワ
パ→???→???→エ,パリリロングウェ
パ→???→???→カ,パリキールルサカ
パ→???→???→ガ,パリリガ
パ→???→???→ク,パリキールルクセンブルク
パ→???→???→タ,パラマリボボゴタ
パ→???→???→ダ,パリキールルアンダ
パ→???→???→ナ,パリリュブリャナ
パ→???→???→マ,パリリマ
パ→???→???→ル,パリリーブルビル
パ→???→???→ン,パリリスボン
ビ→???→???→イ,ビクトリアアロフィ
ビ→???→???→ク,ビサウウィントフック
ビ→???→???→テ,ビリニュススリジャヤワルダナプラコッテ
ビ→???→???→ネ,ビクトリアアテネ
ビ→???→???→ビ,ビクトリアアブダビ
ビ→???→???→ボ,ビクトリアアンタナナリボ
ピ→???→???→ナ,ピョンヤンンジャメナ
フ→???→???→ド,フナフティイスラマバード
フ→???→???→ナ,フリータウンンジャメナ
ブ→???→???→イ,ブラジリアアロフィ
ブ→???→???→ギ,ブラチスラババンギ
ブ→???→???→コ,ブラチスラババマコ
ブ→???→???→タ,ブラチスラババレッタ
ブ→???→???→テ,ブエノスアイレススリジャヤワルダナプラコッテ
ブ→???→???→ト,ブラジリアアシガバット
ブ→???→???→ド,ブラチスラババグダッド
ブ→???→???→ネ,ブラジリアアテネ
ブ→???→???→ビ,ブラジリアアブダビ
ブ→???→???→ボ,ブラジリアアンタナナリボ
プ→???→???→ソ,プリシュティナナッソー
プ→???→???→レ,プラハハラレ
ヘ→???→???→サ,ヘルシンキキンシャサ
ヘ→???→???→ト,ヘルシンキキト
ヘ→???→???→ラ,ヘルシンキキャンベラ
ヘ→???→???→リ,ヘルシンキキガリ
ベ→???→???→ウ,ベイルートトウキョウ
ベ→???→???→シ,ベイルートトビリシ
ベ→???→???→ハ,ベオグラードドーハ
ベ→???→???→ベ,ベオグラードドゥシャンベ
ベ→???→???→マ,ベオグラードドドマ
ベ→???→???→リ,ベイルートトリポリ
ペ→???→???→ナ,ペキンンジャメナ
ホ→???→???→ス,ホニアララパス
ホ→???→???→ト,ホニアララバト
ボ→???→???→ト,ボゴタタシケント
ボ→???→???→ワ,ボゴタタラワ
ボ→???→???→ン,ボゴタタリン
ポ→???→???→イ,ポドゴリツァアロフィ
ポ→???→???→ウ,ポートモレスビービサウ
ポ→???→???→ク,ポートモレスビービシュケク
ポ→???→???→タ,ポルトノボボゴタ
ポ→???→???→ネ,ポドゴリツァアテネ
ポ→???→???→ビ,ポドゴリツァアブダビ
ポ→???→???→ボ,ポドゴリツァアンタナナリボ
マ→???→???→イ,マナグアアロフィ
マ→???→???→エ,マナグアアルジェ
マ→???→???→カ,マセルルサカ
マ→???→???→ス,マニララパス
マ→???→???→ゾ,マジュロロゾー
マ→???→???→タ,マラボボゴタ
マ→???→???→ダ,マセルルアンダ
マ→???→???→ド,マナーママドリード
マ→???→???→ナ,マナグアアスタナ
マ→???→???→ネ,マナグアアテネ
マ→???→???→ハ,マドリードドーハ
マ→???→???→バ,マナグアアディスアベバ
マ→???→???→ビ,マナグアアブダビ
マ→???→???→ベ,マドリードドゥシャンベ
マ→???→???→ム,マナグアアムステルダム
マ→???→???→メ,マジュロロメ
マ→???→???→レ,マナーママレ
マ→???→???→ロ,マナーママジュロ
ミ→???→???→ト,ミンスククウェート
ミ→???→???→ル,ミンスククアラルンプール
ム→???→???→ド,ムババーネネピドー
メ→???→???→ド,メキシコシティイスラマバード
モ→???→???→イ,モンロビアアロフィ
モ→???→???→エ,モンロビアアルジェ
モ→???→???→グ,モスクワワガドゥグー
モ→???→???→ト,モンロビアアシガバット
モ→???→???→ナ,モンロビアアスタナ
モ→???→???→ネ,モンロビアアテネ
モ→???→???→バ,モンロビアアディスアベバ
モ→???→???→ビ,モンロビアアブダビ
モ→???→???→ボ,モンロビアアンタナナリボ
モ→???→???→ム,モンロビアアムステルダム
モ→???→???→メ,モロニニアメ
モ→???→???→リ,モナココナクリ
モ→???→???→ロ,モンテビデオオスロ
ヤ→???→???→ゾ,ヤムスクロロゾー
ヤ→???→???→ナ,ヤレンンジャメナ
ヤ→???→???→マ,ヤムスクロローマ
ヤ→???→???→メ,ヤムスクロロメ
ヤ→???→???→ン,ヤムスクロロンドン
ラ→???→???→ウ,ラバトトウキョウ
ラ→???→???→エ,ラパススコピエ
ラ→???→???→シ,ラバトトビリシ
ラ→???→???→テ,ラパススリジャヤワルダナプラコッテ
ラ→???→???→バ,ラパススバ
ラ→???→???→ム,ラパスストックホルム
ラ→???→???→リ,ラバトトリポリ
リ→???→???→ア,リママナグア
リ→???→???→カ,リーブルビルルサカ
リ→???→???→ソ,リュブリャナナッソー
リ→???→???→ダ,リーブルビルルアンダ
リ→???→???→ド,リママドリード
リ→???→???→ナ,リスボンンジャメナ
リ→???→???→ハ,リヤドドーハ
リ→???→???→ビ,リュブリャナナイロビ
リ→???→???→ベ,リヤドドゥシャンベ
リ→???→???→ボ,リママラボ
リ→???→???→ム,リロングウェエルサレム
リ→???→???→ラ,リママニラ
リ→???→???→ル,リママセル
リ→???→???→レ,リママレ
リ→???→???→ロ,リママジュロ
リ→???→???→ン,リロングウェエレバン
ル→???→???→カ,ルアンダダッカ
ル→???→???→ト,ルクセンブルククウェート
ル→???→???→ラ,ルサカカンパラ
ル→???→???→ロ,ルサカカイロ
ル→???→???→ン,ルアンダダブリン
レ→???→???→ト,レイキャビククウェート
レ→???→???→ル,レイキャビククアラルンプール
ロ→???→???→ア,ローママナグア
ロ→???→???→イ,ロメメキシコシティ
ロ→???→???→ク,ローママルキョク
ロ→???→???→ド,ローママドリード
ロ→???→???→ナ,ロンドンンジャメナ
ロ→???→???→ボ,ローママラボ
ロ→???→???→マ,ローママナーマ
ロ→???→???→ラ,ローママニラ
ロ→???→???→ル,ローママセル
ロ→???→???→レ,ローママレ
ロ→???→???→ロ,ローママジュロ
ワ→???→???→イ,ワガドゥグーグアテマラシティ
ワ→???→???→グ,ワルシャワワガドゥグー
ン→???→???→ソ,ンジャメナナッソー
ン→???→???→ビ,ンジャメナナイロビ
